time,open,high,low,close
1785189600,28210.5,28229,28155.25,28158.25
1785190500,28157.75,28167.5,28125.25,28129.25
1785191400,28129,28157.75,28124.25,28134
1785192300,28134.5,28149.25,28125,28132.75
1785193200,28131.75,28152.25,28105,28130.5
1785194100,28130.5,28163.5,28117.75,28161.25
1785195000,28161,28161.25,28129.75,28131.75
1785195900,28132.5,28178.75,28120.75,28163.25
1785196800,28164.5,28195,28094.5,28111.5
1785197700,28111,28133,28068.25,28105
1785198600,28104.25,28139.75,28060.25,28121
1785199500,28121.5,28121.5,28055,28071
1785200400,28072,28078.75,27969.25,27992.25
1785201300,27992.5,28078.25,27986.75,28058.75
1785202200,28059,28097,28046.5,28079.75
1785203100,28079.5,28094.75,28007.75,28020.25
1785204000,28021,28024.5,27983.75,27995.5
1785204900,27995.25,28030.25,27972.5,27987.25
1785205800,27987,27989,27951.5,27971.25
1785206700,27971.75,28007.25,27955,27992.75
1785207600,27993,27999.5,27932.5,27967.75
1785208500,27968,28046.75,27963.75,27987
1785209400,27986.5,28063.5,27951.5,28056.5
1785210300,28057.25,28071,28025.75,28048.75
1785211200,28048.75,28049,27978.25,27985
1785212100,27985,28016.75,27970,27973.75
1785213000,27973.5,27983.75,27960.5,27975
1785213900,27974,28003.75,27951.25,27956.25
1785214800,27956.5,27984,27942,27946.25
1785215700,27947.75,27956.5,27914.25,27920.25
1785216600,27919.25,27924.25,27876.75,27897.5
1785217500,27897.25,27924.25,27871.25,27881.25
1785218400,27881.25,27901.5,27839.25,27845.25
1785219300,27845,27908.5,27844.5,27902.25
1785220200,27901.75,27937,27892,27918
1785221100,27918.25,27959,27901.5,27945.75
1785222000,27946,27980.75,27934.25,27971.75
1785222900,27972.5,27988.25,27938.25,27943.25
1785223800,27943,27962,27927.25,27939.75
1785224700,27939.75,27955,27907.5,27932.5
1785225600,27933.75,27948,27879.25,27888.75
1785226500,27888.5,28008,27884.25,28002.5
1785227400,28002.75,28046.5,27974,28037.75
1785228300,28036.75,28052.75,27986,27994
1785229200,27993.25,28015,27981.5,27988.5
1785230100,27989.5,28018.5,27984.5,28013
1785231000,28013.25,28013.5,27966.5,27972.75
1785231900,27972.75,27981,27941.75,27956.5
1785232800,27956.5,27966.25,27947,27952
1785233700,27951.25,27969.75,27933.25,27968.5
1785234600,27967.75,27981.25,27904.25,27931.75
1785235500,27932.75,27952.75,27925.25,27944.25
1785236400,27944,27952.75,27864.75,27869.25
1785237300,27869.25,27958.75,27869.25,27883.75
1785238200,27883.25,27928.5,27849,27862.75
1785239100,27862.75,27974,27859.75,27963.5
1785240000,27962.5,28001.5,27949,27963.25
1785240900,27963.5,28019,27946.75,28010.5
1785241800,28010.5,28028,27955.75,28010
1785242700,28009.5,28034,27978.75,27993.75
1785243600,27993,28027.5,27973.75,28001.25
1785244500,28001.25,28028.5,27937.75,27949
1785245400,27949.75,27993,27728.25,27750
1785246300,27749.5,27797.75,27640.25,27666
1785247200,27662.75,27793,27608,27630.75
1785248100,27630.5,27717.75,27603.25,27706.25
1785249000,27706.25,27793,27668.75,27772.25
1785249900,27771,27892.5,27744.75,27802.5
1785250800,27802.75,27883.25,27767.25,27854
1785251700,27853.25,28010.75,27836.25,27964.5
1785252600,27964.5,28035,27948.75,28031.75
1785253500,28031.5,28062.75,28010.25,28048.5
1785254400,28048,28068.75,27997,28008
1785255300,28007.75,28047,27984.5,27994.75
1785256200,27995.25,28043.75,27954,28032
1785257100,28032.25,28079.75,27992.5,28057.75
1785258000,28058,28066.5,27968.75,27988.5
1785258900,27988,28045.75,27973.25,27996
1785259800,27996.75,28042.25,27949.25,27954.5
1785260700,27954.25,27985.75,27924.5,27974
1785261600,27974.5,27999.75,27915,27917.25
1785262500,27917.75,27948,27912,27926.5
1785263400,27926.5,27963.25,27920,27938.25
1785264300,27937.75,27979.5,27928.75,27972.5
1785265200,27972.25,28021.75,27971.75,27987
1785266100,27986.75,28021.25,27964.25,28017.75
1785267000,28017.75,28024,27941,27954.75
1785267900,27954.5,27988.5,27911.25,27919.5
1785268800,27919,27967.75,27884,27919.5
1785269700,27919.5,27991.75,27910.75,27977.75
1785270600,27977,27984,27936.5,27948
1785271500,27948.5,27963,27935.75,27959.75
