symbol,von,bis,kontrakt,kerzen,geholt_am
NQ,1786658400,1786660200,NQU2026,1800,1786824274
NQ,1786660200,1786662000,NQU2026,1800,1786824275
NQ,1786662000,1786663800,NQU2026,1800,1786824275
NQ,1786663800,1786665600,NQU2026,1800,1786824275
NQ,1786665600,1786667400,NQU2026,1800,1786824276
NQ,1786667400,1786669200,NQU2026,1800,1786824277
NQ,1786669200,1786671000,NQU2026,1800,1786824277
NQ,1786671000,1786672800,NQU2026,1800,1786824278
NQ,1786672800,1786674600,NQU2026,1800,1786824278
NQ,1786674600,1786676400,NQU2026,1800,1786824279
NQ,1786676400,1786678200,NQU2026,1800,1786824279
NQ,1786678200,1786680000,NQU2026,1800,1786824279
NQ,1786680000,1786681800,NQU2026,1800,1786824280
NQ,1786681800,1786683600,NQU2026,1800,1786824280
NQ,1786683600,1786685400,NQU2026,1800,1786824281
NQ,1786685400,1786687200,NQU2026,1800,1786824281
NQ,1786687200,1786689000,NQU2026,1800,1786824282
NQ,1786689000,1786690800,NQU2026,1800,1786824282
NQ,1786690800,1786692600,NQU2026,1800,1786824283
NQ,1786692600,1786694400,NQU2026,1800,1786824283
NQ,1786694400,1786696200,NQU2026,1800,1786824284
NQ,1786696200,1786698000,NQU2026,1800,1786824285
NQ,1786698000,1786699800,NQU2026,1800,1786824285
NQ,1786699800,1786701600,NQU2026,1800,1786824285
NQ,1786701600,1786703400,NQU2026,1800,1786824286
NQ,1786703400,1786705200,NQU2026,1800,1786824286
NQ,1786705200,1786707000,NQU2026,1800,1786824287
NQ,1786707000,1786708800,NQU2026,1800,1786824287
NQ,1786708800,1786710600,NQU2026,1800,1786824288
NQ,1786710600,1786712400,NQU2026,1800,1786824288
NQ,1786712400,1786714200,NQU2026,1800,1786824289
NQ,1786714200,1786716000,NQU2026,1800,1786824289
NQ,1786716000,1786717800,NQU2026,1800,1786824290
NQ,1786717800,1786719600,NQU2026,1800,1786824291
NQ,1786719600,1786721400,NQU2026,1800,1786824291
NQ,1786721400,1786723200,NQU2026,1800,1786824291
NQ,1786723200,1786725000,NQU2026,1800,1786824292
NQ,1786725000,1786726800,NQU2026,1800,1786824293
NQ,1786726800,1786728600,NQU2026,1800,1786824293
NQ,1786728600,1786730400,NQU2026,1800,1786824293
NQ,1786730400,1786732200,NQU2026,1800,1786824294
NQ,1786732200,1786734000,NQU2026,1800,1786824295
NQ,1786734000,1786735800,NQU2026,1800,1786824295
NQ,1786735800,1786737600,NQU2026,1800,1786824295
NQ,1786737600,1786739400,NQU2026,1800,1786824296
NQ,1786739400,1786741200,NQU2026,1800,1786824297
ES,1786658400,1786660200,ESU2026,1800,1786825996
ES,1786660200,1786662000,ESU2026,1800,1786825997
ES,1786662000,1786663800,ESU2026,1800,1786825997
ES,1786663800,1786665600,ESU2026,1800,1786825998
ES,1786665600,1786667400,ESU2026,1800,1786825999
ES,1786667400,1786669200,ESU2026,1800,1786825999
ES,1786669200,1786671000,ESU2026,1800,1786825999
ES,1786671000,1786672800,ESU2026,1800,1786826000
ES,1786672800,1786674600,ESU2026,1800,1786826000
ES,1786674600,1786676400,ESU2026,1800,1786826001
ES,1786676400,1786678200,ESU2026,1800,1786826001
ES,1786678200,1786680000,ESU2026,1800,1786826002
ES,1786680000,1786681800,ESU2026,1800,1786826002
ES,1786681800,1786683600,ESU2026,1800,1786826003
ES,1786683600,1786685400,ESU2026,1800,1786826004
ES,1786685400,1786687200,ESU2026,1800,1786826004
ES,1786687200,1786689000,ESU2026,1800,1786826004
ES,1786689000,1786690800,ESU2026,1800,1786826005
ES,1786690800,1786692600,ESU2026,1800,1786826005
ES,1786692600,1786694400,ESU2026,1800,1786826006
ES,1786694400,1786696200,ESU2026,1800,1786826006
ES,1786696200,1786698000,ESU2026,1800,1786826007
ES,1786698000,1786699800,ESU2026,1800,1786826008
ES,1786699800,1786701600,ESU2026,1800,1786826008
ES,1786701600,1786703400,ESU2026,1800,1786826008
ES,1786703400,1786705200,ESU2026,1800,1786826009
ES,1786705200,1786707000,ESU2026,1800,1786826009
ES,1786707000,1786708800,ESU2026,1800,1786826010
ES,1786708800,1786710600,ESU2026,1800,1786826010
ES,1786710600,1786712400,ESU2026,1800,1786826011
ES,1786712400,1786714200,ESU2026,1800,1786826011
ES,1786714200,1786716000,ESU2026,1800,1786826012
ES,1786716000,1786717800,ESU2026,1800,1786826013
ES,1786717800,1786719600,ESU2026,1800,1786826013
ES,1786719600,1786721400,ESU2026,1800,1786826013
ES,1786721400,1786723200,ESU2026,1800,1786826014
ES,1786723200,1786725000,ESU2026,1800,1786826014
